"animal_id","time","logger_id","experiment","date","lat","lon"
"06200004BF",2016-01-11 10:48:49,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:48:50,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 10:48:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 10:50:02,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 10:51:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 10:51:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 10:51:56,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 10:52:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:52:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 10:53:02,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 10:53:10,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 10:53:24,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:54:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 10:55:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:55:53,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:56:08,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200001F0",2016-01-11 10:56:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:56:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:57:19,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 10:57:32,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:57:45,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:58:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:58:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 10:58:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 10:58:54,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 10:58:56,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 10:58:58,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:59:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 10:59:10,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 10:59:28,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 10:59:49,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:00:02,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:00:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:00:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:00:33,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:00:37,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:00:41,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:00:46,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:00:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:01:10,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:01:15,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:01:18,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:01:26,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:01:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:01:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:01:49,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:01:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:01:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:02:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:02:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:02:28,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:02:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:02:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:03:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:03:24,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:03:44,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:03:56,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:03:58,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:04:00,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:04:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:04:49,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:05:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:05:26,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:05:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:05:32,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003A7",2016-01-11 11:05:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003A7",2016-01-11 11:05:38,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:05:42,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:05:56,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:05:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:06:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:06:23,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:06:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:06:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:06:58,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:07:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:07:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:07:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:07:32,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:07:33,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:07:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:07:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:07:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:08:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:08:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:08:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:08:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:08:41,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:09:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:09:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:09:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:09:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:10:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:12:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:13:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:13:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:13:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:13:19,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:13:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:13:23,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:13:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:13:43,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:14:10,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:14:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:14:14,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:14:38,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:15:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:15:32,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:15:47,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:16:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:16:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:17:05,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:17:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:17:15,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:17:25,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:17:26,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:17:46,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:17:54,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:18:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:18:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:18:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:19:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:19:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:20:04,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:20:10,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:20:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:20:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:21:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:21:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:21:54,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:22:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:22:42,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:22:43,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:22:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:23:01,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:23:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:23:08,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:23:41,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:23:43,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:23:45,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:24:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:24:58,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:25:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:25:13,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:25:15,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:25:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:25:35,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:25:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:26:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:26:34,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:26:50,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:26:52,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:26:53,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:27:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:27:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:27:18,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:27:38,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:27:40,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:27:52,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:27:54,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:27:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:28:24,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:28:26,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:28:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:28:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:28:42,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:29:14,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:29:23,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:30:02,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:30:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:31:02,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:31:04,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:31:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:31:50,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:31:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:31:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:32:01,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:32:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:32:23,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:32:26,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:32:28,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:32:32,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:32:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:33:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:33:38,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:33:54,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:34:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:34:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:34:28,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:34:29,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:34:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:35:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:35:17,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:35:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:35:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:35:44,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:35:46,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:35:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:35:52,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:35:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:36:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:36:36,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:37:01,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003A7",2016-01-11 11:37:24,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:37:31,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:37:33,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:37:35,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:37:40,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:37:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:38:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003A7",2016-01-11 11:38:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:38:30,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:38:51,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:38:53,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:38:55,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:38:57,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:38:59,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:39:07,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:39:15,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:39:44,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:39:46,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:40:04,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:40:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:40:19,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:40:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:40:24,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:40:25,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:40:27,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:40:39,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004E4",2016-01-11 11:40:46,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:40:53,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BE",2016-01-11 11:41:00,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:41:06,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:41:11,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:41:15,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:41:21,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:42:05,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:42:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:42:50,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:43:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:43:25,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:44:00,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:44:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:44:18,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:44:28,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:44:44,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:44:48,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:44:53,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:44:56,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:45:08,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:45:16,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:45:18,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003C3",2016-01-11 11:45:20,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200004BF",2016-01-11 11:45:22,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:46:01,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038D",2016-01-11 11:46:12,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:46:19,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:46:23,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003B4",2016-01-11 11:46:25,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:47:03,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"062000038F",2016-01-11 11:47:05,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
"06200003A7",2016-01-11 11:47:09,"exp2-GR10","exp2",2016-01-11,53.89086,-122.81933
