"bird_id","species","author","citation","img"
"06200004D6","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004D6.jpg"
"041868E9A8","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E9A8.jpg"
"041868D100","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D100.jpg"
"041869015E","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041869015E.jpg"
"041868BD8C","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868BD8C.jpg"
"041868D645","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D645.jpg"
"06200003AA","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003AA.jpg"
"041868D861","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D861.jpg"
"041869123C","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041869123C.jpg"
"0418690C15","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0418690C15.jpg"
"062000031A","MOCH","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000031A.jpg"
"041868D396","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868D396.jpg"
"0620000455","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000455.jpg"
"0620000400","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000400.jpg"
"062000036A","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000036A.jpg"
"041868BED6","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868BED6.jpg"
"06200003CF","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003CF.jpg"
"0620000425","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000425.jpg"
"0620000358","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000358.jpg"
"0620000394","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000394.jpg"
"062000053B","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000053B.jpg"
"0620000518","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000518.jpg"
"062000042B","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000042B.jpg"
"062000013B","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000013B.jpg"
"0620000486","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000486.jpg"
"062000036D","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/062000036D.jpg"
"06200004C6","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004C6.jpg"
"06200003A2","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200003A2.jpg"
"0620000513","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000513.jpg"
"0620000514","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000514.jpg"
"0620000520","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000520.jpg"
"0620000523","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000523.jpg"
"041868E794","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E794.jpg"
"0620000477","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000477.jpg"
"06200004FB","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004FB.jpg"
"041868E56A","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868E56A.jpg"
"04186901FD","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/04186901FD.jpg"
"041868C226","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868C226.jpg"
"041868C1AC","DEJU","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868C1AC.jpg"
"06200004D0","HOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/06200004D0.jpg"
"0418690218","SOSP","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0418690218.jpg"
"0620000102","HOFI","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/0620000102.jpg"
"041868FF93","MOCH","TRU",NA,"http://gaia.tru.ca/birdMOVES/img.kl/041868FF93.jpg"
