species,url
unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bird01.svg/442px-Bird01.svg.png
House Finch,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/House_Finch-27527-2.jpg/320px-House_Finch-27527-2.jpg
Mountain Chickadee,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Poecile_gambeli%2C_Walden%2C_Colorado_1.jpg/320px-Poecile_gambeli%2C_Walden%2C_Colorado_1.jpg
House Sparrow,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Passer_domesticus_-British_Columbia_%2C_Canada_-male-8a.jpg/640px-Passer_domesticus_-British_Columbia_%2C_Canada_-male-8a.jpg
Dark-eyed Junco,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Oregon_Junco_in_Kelowna%2C_BC.jpg/640px-Oregon_Junco_in_Kelowna%2C_BC.jpg
Song Sparrow,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Melospiza-melodia-001.jpg/624px-Melospiza-melodia-001.jpg
VISA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Violet_sabrewing_hummingbird_male.jpg/640px-Violet_sabrewing_hummingbird_male.jpg
GREH,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Green_Hermit%2C_Phaethornis_guy.jpg/640px-Green_Hermit%2C_Phaethornis_guy.jpg
STRH,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lepidopyga_coeruleogularis_male.jpg/632px-Lepidopyga_coeruleogularis_male.jpg
RTAH,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Rufous-tailed_Hummingbird_JCB.jpg/400px-Rufous-tailed_Hummingbird_JCB.jpg
